id,character_name,actor_name,type,series,seasons,occupation,neighborhood,description
CHAR001,Carrie Bradshaw,Sarah Jessica Parker,Main,SATC + AJLT,S1-S6 + AJLT S1-S3,Sex columnist / Author,Upper East Side (fictional) / West Village (exterior),The narrator and central character. Writes a newspaper column called Sex and the City. Known for her love of Manolo Blahniks and her on-again off-again relationship with Mr. Big.
CHAR002,Samantha Jones,Kim Cattrall,Main,SATC,S1-S6,PR Executive,Meatpacking District,The oldest of the group and the most sexually liberated. Runs her own PR firm. Known for her confidence and frank approach to sex and relationships. Absent from AJLT S1 with cameo in S2.
CHAR003,Charlotte York Goldenblatt,Kristin Davis,Main,SATC + AJLT,S1-S6 + AJLT S1-S3,Art dealer / Homemaker,Upper East Side,The romantic and most traditional of the group. Works at an art gallery before marrying Trey MacDougal then Harry Goldenblatt. Converts to Judaism. Adopts daughter Lily.
CHAR004,Miranda Hobbes Brady,Cynthia Nixon,Main,SATC + AJLT,S1-S6 + AJLT S1-S3,Lawyer / Partner,Upper West Side / Brooklyn,The pragmatic and career-focused lawyer. Marries Steve Brady. Has son Brady. Moves to Brooklyn. In AJLT develops relationship with Che Diaz and moves to LA before returning to NYC.
CHAR005,Mr. Big (John James Preston),Chris Noth,Main/Recurring,SATC + AJLT,S1-S6 + AJLT S1,Businessman,Upper East Side,Carrie's great love and eventual husband. Mysterious and commitment-phobic in early seasons. Marries Natasha then eventually Carrie. Dies of a heart attack in AJLT S1E1.
CHAR006,Aidan Shaw,John Corbett,Recurring,SATC + AJLT,S3-S4 + AJLT S2,Furniture designer,SoHo,Carrie's serious boyfriend who she cheats on with Big. Proposes twice. Returns in AJLT S2 as a potential love interest for Carrie.
CHAR007,Stanford Blatch,Willie Garson,Recurring,SATC + AJLT,S1-S6 + AJLT S1,Talent agent,Manhattan,Carrie's gay best friend. Marries Anthony Marentino. Died during AJLT S1 production - written out via letter in episode 4.
CHAR008,Anthony Marentino,Mario Cantone,Recurring,SATC + AJLT,S1-S6 + AJLT S1-S3,Event planner,Manhattan,Charlotte's gay best friend who eventually marries Stanford.
CHAR009,Steve Brady,David Eigenberg,Recurring,SATC + AJLT,S2-S6 + AJLT S1-S2,Bar owner,Brooklyn,Miranda's boyfriend then husband. Opens a bar with Aidan. Reconciles with Miranda in SATC Movie.
CHAR010,Harry Goldenblatt,Evan Handler,Recurring,SATC + AJLT,S4-S6 + AJLT S1-S3,Lawyer,Upper East Side,Charlotte's divorce lawyer who becomes her second husband. They adopt Lily and have daughter Rose.
CHAR011,Trey MacDougal,Kyle MacLachlan,Recurring,SATC,S3-S4,Blue blood / Trust fund,Upper East Side,Charlotte's first husband. Struggles with impotence and his domineering mother Bunny. They divorce.
CHAR012,Berger (Jack Berger),Ron Livingston,Recurring,SATC,S6,Writer,Manhattan,Carrie's boyfriend in early S6 who breaks up with her via Post-It note.
CHAR013,Alexandr Petrovsky,Mikhail Baryshnikov,Recurring,SATC,S6,Russian artist,Manhattan / Paris,Carrie's Russian artist boyfriend who takes her to Paris. Neglects her at his art opening. Big rescues Carrie.
CHAR014,Natasha Naginsky,Bridget Moynahan,Recurring,SATC,S2-S3,Model / Socialite,Upper East Side,Big's second wife who Carrie is obsessed with. Chips her tooth when she catches Carrie leaving Big's apartment.
CHAR015,Che Diaz,Sara Ramirez,Main,AJLT,AJLT S1-S2,Comedian / Podcast host,New York,Non-binary comedian who hosts a podcast. Miranda develops feelings for Che and leaves Steve.
CHAR016,Seema Patel,Sarita Choudhury,Main,AJLT,AJLT S1-S3,Real estate agent,Manhattan,Carrie's new close friend in AJLT. A successful real estate agent navigating dating in her 50s.
CHAR017,Lisa Todd Wexley,Nicole Ari Parker,Main,AJLT,AJLT S1-S3,Documentary filmmaker,Upper East Side,Charlotte's new friend in AJLT. Married to Herbert Wexley with children.
CHAR018,Dr. Nya Wallace,Karen Pittman,Main,AJLT,AJLT S1-S2,Columbia professor,Manhattan,Miranda's professor at Columbia. Deals with fertility decisions with her husband Andre.
CHAR019,Lily Goldenblatt,Cathy Ang,Recurring,AJLT,AJLT S1-S3,Student,Upper East Side,Charlotte and Harry's adopted daughter. Becomes a piano prodigy.
CHAR020,Brady Hobbes,Niall Cunningham,Recurring,AJLT,AJLT S1-S3,Student,Brooklyn,Miranda and Steve's son. Has a girlfriend and growing up causes tension.
